search,split,n,time_taken
500,12500,200000,1650287936
500,12500,200000,1603364356
500,12500,200000,1574562096
500,12500,200000,1581697723
500,12500,200000,1660870582
500,12500,200000,1561551695
500,12500,200000,1585185796
500,12500,200000,1631069586
500,12500,200000,1577026170
500,12500,200000,1574012594
500,12500,200000,1612917870
500,12500,200000,1614898761
500,12500,200000,1632902837
500,12500,200000,1557963354
500,12500,200000,1598934788
500,12500,200000,1556374457
500,12500,200000,1586347171
500,12500,200000,1586198348
500,12500,200000,1602697611
500,12500,200000,1568716534
500,12500,200000,1189060179
500,12500,200000,1145835472
500,12500,200000,1106793215
500,12500,200000,1073861797
500,12500,200000,1079804863
500,12500,200000,1060953638
500,12500,200000,1105660657
500,12500,200000,1068599687
500,12500,200000,1032625086
500,12500,200000,1055435725
500,12500,200000,1083964813
500,12500,200000,1076689046
500,12500,200000,1106790057
500,12500,200000,1083139376
500,12500,200000,1026523723
500,12500,200000,1061336158
500,12500,200000,1054692398
500,12500,200000,1090851744
500,12500,200000,1040131786
500,12500,200000,1045297971
500,12500,200000,1059238814
500,12500,200000,1110101673
500,12500,200000,1143933138
500,12500,200000,1087181688
500,12500,200000,1114764149
500,12500,200000,1062817286
500,12500,200000,1027713520
500,12500,200000,1132676247
500,12500,200000,1106265030
500,12500,200000,1050333095
500,12500,200000,1119661504
500,12500,200000,1132056479
500,12500,200000,1047193988
500,12500,200000,1091040438
500,12500,200000,1036845828
500,12500,200000,1084669454
500,12500,200000,1060344923
500,12500,200000,1069826196
500,12500,200000,1059333950
500,12500,200000,1047812572
500,12500,200000,1049967156
500,12500,200000,1068548368
500,12500,200000,1130023481
500,12500,200000,1060776787
500,12500,200000,1087412226
500,12500,200000,1032617192
500,12500,200000,1032062557
500,12500,200000,1134079214
500,12500,200000,1073427170
500,12500,200000,1042164389
500,12500,200000,1065874284
500,12500,200000,1035622871
500,12500,200000,1167912652
500,12500,200000,1071915645
500,12500,200000,1081578507
500,12500,200000,1066528002
500,12500,200000,1063825496
500,12500,200000,1128254574
500,12500,200000,1053017838
500,12500,200000,1034281487
500,12500,200000,1048754463
500,12500,200000,1055321640
500,12500,200000,1132448078
500,12500,200000,1066989868
500,12500,200000,1067150533
500,12500,200000,1134690693
500,12500,200000,1091503882
500,12500,200000,1113574746
500,12500,200000,1056648024
500,12500,200000,1076898663
500,12500,200000,1066519711
500,12500,200000,1106327797
500,12500,200000,1117825884
500,12500,200000,1055222556
500,12500,200000,1090012885
500,12500,200000,1064055639
500,12500,200000,1103832933
500,12500,200000,1142393980
500,12500,200000,1037424147
500,12500,200000,1068412966
500,12500,200000,1084772486
500,12500,200000,1135762457
500,12500,200000,1170979518
500,12500,200000,1068564553
500,12500,200000,1132965999
500,12500,200000,1122504544
500,12500,200000,1062680700
500,12500,200000,1147911104
500,12500,200000,1107082967
500,12500,200000,1036690689
500,12500,200000,1098019346
500,12500,200000,1126178152
500,12500,200000,1088954936
500,12500,200000,1075479117
500,12500,200000,1046911342
500,12500,200000,1094543116
500,12500,200000,1045695096
500,12500,200000,1141763158
500,12500,200000,1046982399
500,12500,200000,1104151896
500,12500,200000,1056403275
500,12500,200000,1192051647
500,12500,200000,1143530880
500,12500,200000,1079651303
500,12500,200000,1093116464
500,12500,200000,1070158187
500,12500,200000,1098155537
500,12500,200000,1109426639
500,12500,200000,1044244364
500,12500,200000,1048747752
500,12500,200000,1078295313
500,12500,200000,1073455592
500,12500,200000,1131636457
500,12500,200000,1057072387
500,12500,200000,1050228880
500,12500,200000,1124070544
500,12500,200000,1089659183
500,12500,200000,1122325719
500,12500,200000,1074378534
500,12500,200000,1115123377
500,12500,200000,1167499341
500,12500,200000,1174229948
500,12500,200000,1079617749
500,12500,200000,1046162488
500,12500,200000,1093338713
500,12500,200000,1120882092
500,12500,200000,1086906936
500,12500,200000,1065307413
500,12500,200000,1077656991
500,12500,200000,1114110431
500,12500,200000,1061836709
500,12500,200000,1086513759
500,12500,200000,1100692641
500,12500,200000,1051453811
500,12500,200000,1082219198
500,12500,200000,1046786204
500,12500,200000,1074943431
500,12500,200000,1062274495
500,12500,200000,1049390416
500,12500,200000,1044635963
500,12500,200000,1098372654
500,12500,200000,1144428953
500,12500,200000,1141505382
500,12500,200000,1084242327
500,12500,200000,1125491670
500,12500,200000,1098633983
500,12500,200000,1112900106
500,12500,200000,1091230315
500,12500,200000,1078908765
500,12500,200000,1066477867
500,12500,200000,1141517620
500,12500,200000,1131368417
500,12500,200000,1078447689
500,12500,200000,1097838547
500,12500,200000,1033437891
500,12500,200000,1102352199
500,12500,200000,1149989104
500,12500,200000,1065847836
500,12500,200000,1076253630
500,12500,200000,1045627198
500,12500,200000,1154068918
500,12500,200000,1135570606
500,12500,200000,1061333789
500,12500,200000,1080671750
500,12500,200000,1051955548
500,12500,200000,1112756020
500,12500,200000,1162133409
500,12500,200000,1049912680
500,12500,200000,1089274689
500,12500,200000,1037527179
500,12500,200000,1172250636
500,12500,200000,1328974690
500,12500,200000,1269461125
500,12500,200000,1075746367
500,12500,200000,1112792337
500,12500,200000,1129431345
500,12500,200000,1144724231
500,12500,200000,1060599936
500,12500,200000,1078501376
500,12500,200000,1053825117
500,12500,200000,1100674481
500,12500,200000,1102797091
500,12500,200000,1106266610
500,12500,200000,1072352641
500,12500,200000,1088603602
500,12500,200000,1092071937
500,12500,200000,1135593896
