nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,2000,50000,2,2,3,667760272
2,16000,50000,2,2,3,462457910
2,124000,50000,2,2,3,254600685
2,2000,50000,2,2,3,683860003
2,16000,50000,2,2,3,505988449
2,124000,50000,2,2,3,205823046
2,2000,50000,2,2,3,627759641
2,16000,50000,2,2,3,446770303
2,124000,50000,2,2,3,173216986
2,2000,50000,2,2,3,588735635
2,16000,50000,2,2,3,466031241
2,124000,50000,2,2,3,190015040
2,2000,50000,2,2,3,604339948
2,16000,50000,2,2,3,473095400
2,124000,50000,2,2,3,213492763
2,2000,50000,2,2,3,598222808
2,16000,50000,2,2,3,498612037
2,124000,50000,2,2,3,210903952
2,2000,50000,2,2,3,661054946
2,16000,50000,2,2,3,435068944
2,124000,50000,2,2,3,174272958
2,2000,40000,2,2,3,480135085
2,16000,40000,2,2,3,324816340
2,124000,40000,2,2,3,216751079
2,2000,40000,2,2,3,493963785
2,16000,40000,2,2,3,310632360
2,124000,40000,2,2,3,182631128
2,2000,40000,2,2,3,495045416
2,16000,40000,2,2,3,312065325
2,124000,40000,2,2,3,195714923
2,2000,40000,2,2,3,507047580
2,16000,40000,2,2,3,361409437
2,124000,40000,2,2,3,189756080
2,2000,40000,2,2,3,578177885
2,16000,40000,2,2,3,311965056
2,124000,40000,2,2,3,217303737
2,2000,40000,2,2,3,488914461
2,16000,40000,2,2,3,321918435
2,124000,40000,2,2,3,190014646
2,2000,40000,2,2,3,477000327
2,16000,40000,2,2,3,315099420
2,124000,40000,2,2,3,170957402
2,2000,40000,2,2,3,478403686
2,16000,40000,2,2,3,334806036
2,124000,40000,2,2,3,198512165
2,2000,40000,2,2,3,481900040
2,16000,40000,2,2,3,329225370
2,124000,40000,2,2,3,190509670
2,2000,40000,2,2,3,561592209
2,16000,40000,2,2,3,339674958
2,124000,40000,2,2,3,166788778
2,2000,40000,2,2,3,515529703
2,16000,40000,2,2,3,302922379
2,124000,40000,2,2,3,194543682
2,2000,40000,2,2,3,474685083
2,16000,40000,2,2,3,323306398
2,124000,40000,2,2,3,183095361
2,2000,40000,2,2,3,505039456
