size,1,2,3,4,5,6,7,8,9,10,11,12
16384,5921,182772,195404,372650,288172,393573,468971,505289,572792,648190,692798,839252
16384,5921,194220,230538,237644,286987,439759,438179,502919,527000,591345,741748,762670
16384,9869,187904,166193,254618,314226,398309,439364,496209,522657,602398,737800,761485
16384,5922,201326,228169,263302,334753,441338,425942,528184,564107,628847,759512,819909
16384,6711,191456,189088,260539,329622,397520,417652,476866,677007,592529,686482,815567
16384,5526,194220,244354,266855,281856,350544,410546,500946,568449,648585,646611,758722
16384,5922,197378,247117,396336,358438,360807,456733,465418,560948,669112,704246,754380
16384,5921,185930,230143,262119,291725,334359,423178,456338,520289,639900,725168,795435
16384,5922,198168,193431,247513,326859,341069,414494,488708,594503,630426,949784,721615
16384,5527,164218,183957,260539,299225,338701,399494,478445,491077,526210,662401,781618
16384,5527,165797,170535,240801,336332,399493,432258,476471,537659,554238,658059,780038
16384,6316,192641,204089,194615,295672,282646,423573,418836,534895,585818,587397,736220
16384,5922,169351,190272,251854,293699,382519,383309,470154,468971,646611,642269,713325
16384,5922,172113,189483,216721,280672,311068,398704,447259,513578,538448,654506,740168
16384,7501,180404,197378,230932,273171,332385,380545,471339,525421,610689,649769,684112
16384,5921,164613,200931,198562,329227,333964,412126,479234,536869,548712,642269,658059
16384,5921,191457,193825,205668,283435,353701,386861,442917,502130,596476,636347,779249
32768,11842,180009,188299,230933,281462,337121,410547,468575,542790,525026,647796,706614
32768,13817,178035,253038,229354,276330,352122,382914,439759,577923,625689,699903,698719
32768,11448,168561,167377,214353,332385,430285,430680,465813,513972,562923,613846,748853
32768,11448,181983,204484,227774,275935,330805,419626,487524,516341,591740,660033,691218
32768,12632,181587,211984,226985,274356,352123,414889,537659,521474,597267,644242,661612
32768,11448,167377,169745,232511,263303,354097,401467,421205,501340,565291,713325,656874
32768,11053,181193,161850,226195,319358,395546,489103,429495,548712,544763,684902,703061
32768,12632,190668,163429,214353,314226,344622,431074,492261,498577,641873,639900,709377
32768,11053,165403,193431,238827,292120,325279,367913,468576,519105,575555,701482,780039
32768,13422,182377,220274,216327,316595,382913,420810,438574,554238,543184,652927,742932
32768,11448,178035,237643,273171,247117,358439,384098,452391,519500,551474,630820,669112
32768,11054,165008,192247,217116,271593,348176,383704,442127,520684,585819,663981,723983
32768,11843,185930,191852,243960,290936,362386,395151,429495,491866,577528,677797,669507
32768,12237,159087,216326,243960,315805,401073,384098,485550,536474,584635,650164,688850
32768,11448,175666,172114,208826,301199,348570,463049,477655,543580,658453,609109,752800
32768,11447,174877,176851,211984,298436,365150,436206,507262,523447,573186,632005,721615
32768,12237,172113,198563,233696,287383,342254,358044,448443,572396,567660,630820,755169
32768,11053,171324,189088,248302,297251,334359,380940,483577,475681,602398,641479,753196
32768,16580,209615,219485,269224,311462,334359,415678,543579,578713,653717,693192,767801
32768,14606,182377,238828,306330,331201,350939,455944,528184,556212,658454,684903,736615
32768,15396,188693,215932,238828,330017,372256,434232,542000,582660,649374,710956,674638
32768,12632,180403,225801,253433,330411,393572,450022,489498,534500,638321,703455,695956
32768,11843,187904,204089,265277,301989,422784,440154,472129,599635,608320,618189,716088
32768,11843,223827,204878,251854,319753,373440,390414,540027,569633,587003,656874,785565
32768,11448,190273,226590,259749,336333,405810,460286,453575,545158,648190,657664,735036
32768,13027,183562,190273,236854,284225,345412,440549,511210,534500,621347,669112,738589
32768,11842,181193,190273,275146,308304,369097,426732,455549,580687,609504,687270,722799
32768,12632,186720,208432,272776,300804,387256,418442,568449,560554,634374,668323,755564
32768,11448,183561,196984,283435,280277,369492,453180,506867,564896,573975,647400,733457
32768,12632,182772,219090,238038,273566,359229,419232,461865,535290,579503,614241,753195
65536,22896,169745,208826,217905,278698,371071,417257,448048,515552,607925,680560,741748
65536,22106,176851,230932,243565,288173,340675,403836,465417,562923,561739,656085,758722
65536,25265,190668,208036,232906,247118,360808,424364,476471,620557,619768,642269,860964
65536,24475,193826,197378,213564,303963,358834,423178,480814,504104,563317,632399,690034
65536,23685,175667,208431,222248,285014,330411,408178,455944,541605,559765,605556,693982
65536,26054,201326,193825,250276,272382,345807,379756,496208,501341,594108,624505,683718
65536,25265,180009,210800,251459,284619,349359,401072,427126,489498,596872,638716,777276
65536,24475,185535,185930,231327,292514,370676,383704,442522,496209,622136,611083,801355
65536,25264,192641,197773,254223,336728,347781,378967,477656,485945,573186,653321,673455
65536,22896,193431,204483,272382,267250,341859,380545,448838,524237,557790,600424,737800
65536,36712,216721,193036,238432,278698,308305,392783,440943,519105,564502,641479,693587
65536,28423,195010,245538,226985,303567,350149,392783,444891,540422,562923,594108,794250
65536,23291,189089,256197,259750,294883,370677,416863,442522,593319,626083,679375,767012
65536,24869,202905,242380,301988,294094,330017,442127,459891,527000,594108,670296,691218
65536,22895,193036,191457,236854,277514,350149,395941,454759,525420,562133,643848,692798
65536,22896,183957,219089,217116,294883,356465,425942,435021,531737,599635,615030,688455
65536,26844,191456,191852,216326,302383,348965,431074,481998,546343,540422,665954,689245
65536,30396,261723,190667,276329,330017,351333,463839,481208,528579,647400,662401,728720
65536,22502,189878,202510,220668,292515,330412,388046,468970,501340,603583,611083,675823
65536,22895,191062,207247,232906,254223,361597,392783,494235,507657,550290,640689,675823
65536,26448,180404,176061,249091,327253,367123,426337,573976,587792,554238,685692,765828
65536,24475,191457,211984,246328,305147,330016,449233,474498,517131,603977,705824,704245
65536,24080,191852,202115,275145,267251,374624,423179,496604,508446,596477,714509,733458
65536,22896,189483,194615,249091,295672,319358,389230,434232,502525,583055,632400,695166
65536,22501,179614,172903,204484,291725,328043,375808,470155,502525,634769,697929,757932
65536,24870,193825,205273,241986,276330,343832,409363,492261,555028,570818,700298,714509
65536,25264,216326,211590,228170,278304,364755,393572,485550,540026,600425,661217,675034
65536,22895,176061,251460,220274,292514,338306,423968,496603,660822,615031,696350,664770
65536,28423,193826,192641,268040,317779,356860,451602,491077,495024,656875,726352,776091
65536,25659,192641,194615,312252,333569,375808,418047,470549,524236,582266,609899,695561
131072,74609,218300,213563,242776,278698,323700,414889,444890,584239,579897,683718,752405
131072,56056,209220,211590,245538,307515,387256,430679,511999,519894,637531,672665,752801
131072,57240,221853,195799,272382,320542,380940,405415,522262,530947,630031,729510,736221
131072,54476,230143,225011,240801,327648,349754,448049,496208,537264,655296,704640,759906
131072,56450,220669,291725,251065,315805,362781,422389,458312,536868,633584,673849,728325
131072,55660,223037,228564,249881,295278,326463,408968,491472,515946,578713,640690,700297
131072,54082,212379,206063,200931,311858,401073,387256,488709,502525,622136,639110,714904
131072,55266,214353,188693,265276,313831,337517,439363,517921,587002,619768,644242,782012
131072,54476,230538,211589,256197,319752,335543,425547,487524,559764,634373,743326,738589
131072,56450,226590,214748,273566,328832,357254,417652,478840,581871,594898,695561,697534
131072,56450,232511,294093,254618,332780,402257,385677,544369,570028,649769,639505,730694
131072,55661,239617,301989,235669,341859,405810,442127,463839,596871,680560,677797,725167
131072,56056,238432,226195,241196,274356,381729,451996,473313,573976,637136,669506,761090
131072,57240,245539,198562,301988,302778,368308,417257,502919,544369,596082,677007,778854
131072,55660,221064,180009,226985,311463,353702,433837,453970,521473,596083,596477,720825
131072,55266,221063,204484,225406,296857,330016,403835,451996,516342,594109,687271,714903
131072,55660,218695,203694,234485,307910,330016,443311,490682,542790,588187,627268,733852
131072,54477,221853,217511,273171,296462,341464,379361,470550,521078,582266,658454,706613
131072,54871,215537,215142,258565,296067,333569,438969,430680,555817,562133,728720,647795
131072,55266,224616,215931,228169,296857,352122,401862,490682,505683,582661,628058,718851
131072,54871,220274,217116,280277,279092,367913,416073,457522,603188,603188,637926,778854
131072,57634,231722,230537,309489,326464,367123,408178,490682,577528,650559,663980,745695
131072,54081,214353,178825,307120,326858,389230,470549,472129,532132,566080,682534,731484
131072,54871,218695,205273,217906,331201,368703,435811,527000,528184,615425,685297,763459
131072,57240,222642,235670,274751,324489,426732,404231,478445,531342,596476,702667,795040
131072,56450,219090,203694,277908,377782,406599,437390,431863,523842,578713,645426,653717
131072,54082,200931,201326,211984,300015,379756,457522,464628,561344,558186,735431,694771
131072,59213,224616,224222,255012,286988,393177,408573,508841,588582,621346,632399,688850
131072,53687,200537,205668,256592,331200,361202,383308,453575,544764,590951,715299,701482
131072,54477,210800,209221,248301,290146,341069,410547,440548,535289,611478,624505,682534
262144,109742,276724,224222,320148,350938,419231,489103,523841,569634,655690,635163,800566
262144,124348,270803,238827,236064,351728,344622,427126,496209,528974,615820,647006,753984
262144,104216,270803,237248,243960,301989,412915,423574,461470,542000,596871,673454,752405
262144,107374,271592,281856,247907,391993,408179,404625,539632,548711,627268,756748,741352
262144,156718,273566,268040,306726,387650,436996,471734,523052,548316,568449,747274,760696
262144,106584,322911,296462,298831,349754,372255,466997,554632,575160,676218,670691,740168
262144,106585,294489,211590,264092,307515,340280,479629,486340,532526,618978,650559,714115
262144,109742,262513,227775,256986,329227,376598,407783,494235,564107,556212,684903,800961
262144,110137,271197,300410,311463,347386,377782,396730,481998,531737,640295,677402,772933
262144,108558,337122,219090,306726,318569,406599,440548,520683,535684,644637,733852,791486
262144,108953,278698,327648,277119,331990,385282,434626,481998,551869,562923,669902,760301
262144,108164,268040,221853,328438,320936,436206,473708,581082,626478,597661,743721,707798
262144,108558,270803,273567,269224,319753,401073,415678,520683,551475,595687,799381,789907
262144,109743,281856,236854,249486,329226,403046,517131,480419,567659,663191,705035,787144
262144,116453,276724,262908,313041,353307,397520,416074,530158,577134,677008,646216,673059
262144,121585,260934,222248,278698,331201,356860,476865,495419,545159,596477,638716,729905
262144,111716,268039,214748,234486,333174,370676,456339,509236,604766,629636,736221,795829
262144,107374,274751,244749,256987,358439,431074,454759,513183,528578,626873,695166,805697
262144,109347,274356,232511,263697,318568,373045,436206,474102,594898,623320,707009,782801
262144,121191,270014,236853,243565,323305,384098,427521,502524,597661,629242,716483,705825
262144,108163,284619,295278,305541,339885,419626,405415,521078,534500,647006,723193,730694
262144,106979,300804,250275,359228,316595,375019,443311,480024,547133,615425,689639,782802
262144,142902,278303,244354,249091,362781,349359,570818,529368,540817,704641,684507,778460
262144,112506,296462,247907,228564,420021,399493,487919,450417,593713,613846,720036,741353
262144,110137,277909,271592,306331,315411,405809,434627,527395,627662,635558,701482,722009
262144,122375,274356,305146,287778,333174,384888,487525,491077,540027,665954,757537,800566
262144,113690,267250,250276,306726,345017,352123,497393,525026,584634,618189,690429,795434
262144,120401,278698,242775,251065,375019,393178,417652,564502,568054,611477,741748,793461
